ID,song,measure,ending,empty,key.local.major,key.global.major,tonic.local,tonic.global,chord.maj,chord.min,chord.aug,chord.dim,chord.sus4,chord.dom7,chord.min7,roman.numeral,roman.numeral.label,prev.roman.numeral,prev.roman.numeral.label,note.density,note.pitch.mean,note.velocity,rhythm.density,tempo,valence,arousal,valence.category,arousal.category,prev.valence,prev.arousal,prev.valence.category,prev.arousal.category,predicted.valence,predicted.arousal,predicted.valence.category,predicted.arousal.category
12,Age_of_Empires_II_Main_Theme.mid,12,0,0,0,1,G,D,2,3,0,0,0,11,0,18,iv,71,#VI7,3.5,52.26785714285714,78.25,4,461680.0,0.13,0.735,M,H,0.125,0.74,M,H,0.38065699471428577,0.0064218600000000015,H,L
13,Age_of_Empires_II_Main_Theme.mid,13,0,0,0,1,G,D,6,0,1,0,4,2,3,49,Isus4,18,iv,3.375,52.55555555555556,76.375,10,461680.0,0.135,0.7150000000000001,M,H,0.13,0.735,M,H,0.43380157011111126,0.18487285999999992,H,M
14,Age_of_Empires_II_Main_Theme.mid,14,0,0,0,1,G,D,7,2,3,0,4,0,0,6,IV,49,Isus4,3.1875,49.33333333333333,77.875,4,461680.0,0.135,0.71,M,H,0.135,0.7150000000000001,M,H,0.38484562566666675,-0.02332676499999997,H,L
15,Age_of_Empires_II_Main_Theme.mid,15,0,0,0,1,G,D,0,1,0,0,2,9,1,71,#VI7,6,IV,3.375,54.11111111111111,76.8125,9,464349.9375,0.135,0.71,M,H,0.135,0.71,M,H,0.34522496276597214,0.22954264206249997,H,H
16,Age_of_Empires_II_Main_Theme.mid,16,0,0,0,1,E,D,2,0,0,4,0,10,0,71,#VI7,71,#VI7,4.0625,55.33846153846154,84.0,4,466112.3125,0.135,0.71,M,H,0.135,0.71,M,H,0.2934752057658654,0.03622436368750004,M,L
17,Age_of_Empires_II_Main_Theme.mid,17,0,0,0,1,A,D,0,15,0,0,1,0,0,20,v,71,#VI7,5.1875,60.204819277108435,97.625,4,462717.6875,0.105,0.7050000000000001,M,H,0.135,0.71,M,H,0.277052691932003,0.0984162963125001,M,M
18,Age_of_Empires_II_Main_Theme.mid,18,0,0,1,1,A,D,0,0,0,0,6,0,10,51,IIsus4,20,v,5.25,59.94047619047618,94.25,2,466112.3125,0.09,0.72,M,H,0.105,0.7050000000000001,M,H,0.4021702713336309,-0.10821551131250001,H,L
19,Age_of_Empires_II_Main_Theme.mid,19,0,0,0,1,A,D,0,15,0,0,1,0,0,20,v,51,IIsus4,5.1875,60.204819277108435,97.625,4,462717.6875,0.065,0.7250000000000001,M,H,0.09,0.72,M,H,0.277052691932003,0.0984162963125001,M,M
20,Age_of_Empires_II_Main_Theme.mid,20,0,0,1,1,G,D,0,0,0,0,0,11,5,75,ii7,20,v,5.3125,60.82352941176471,94.25,2,466112.3125,0.065,0.7350000000000001,M,H,0.065,0.7250000000000001,M,H,0.3709090521459557,-0.06611063631250008,H,L
21,Age_of_Empires_II_Main_Theme.mid,21,0,0,0,1,A,D,0,15,0,0,1,0,0,20,v,75,ii7,5.1875,60.204819277108435,97.625,7,462717.6875,0.065,0.7350000000000001,M,H,0.065,0.7350000000000001,M,H,0.282809691932003,0.2267952963125,M,H
22,Age_of_Empires_II_Main_Theme.mid,22,0,0,0,1,B,D,0,0,0,0,0,0,16,82,vi7,20,v,5.0,60.199999999999996,94.0,6,461680.0,0.065,0.7350000000000001,M,H,0.065,0.7350000000000001,M,H,0.421026384,0.07898736000000006,H,M
23,Age_of_Empires_II_Main_Theme.mid,23,0,0,1,1,G,D,15,0,0,0,0,0,1,6,IV,82,vi7,5.1875,60.06024096385542,94.875,4,461680.0,0.125,0.7350000000000001,M,H,0.065,0.7350000000000001,M,H,0.4100041879156627,0.0018552349999999551,H,L
24,Age_of_Empires_II_Main_Theme.mid,24,0,0,0,1,A,D,0,16,0,0,0,0,0,20,v,6,IV,5.0,59.0,94.0,4,466112.3125,0.135,0.7350000000000001,M,H,0.125,0.7350000000000001,M,H,0.28195539038125006,0.09517148868750003,M,M
25,Age_of_Empires_II_Main_Theme.mid,25,0,0,1,1,D,D,0,0,0,0,16,0,0,13,i,20,v,2.0,46.5,33.125,5,462717.6875,0.135,0.74,M,H,0.135,0.7350000000000001,M,H,0.53808511361875,-0.10461632868749998,H,L
26,Age_of_Empires_II_Main_Theme.mid,26,0,0,1,1,D,D,0,0,0,0,16,0,0,13,i,13,i,2.5,46.5,39.4375,6,461680.0,0.145,0.74,M,H,0.135,0.74,M,H,0.5179667715,-0.04617601499999996,H,L
27,Age_of_Empires_II_Main_Theme.mid,27,0,0,1,1,D,D,0,0,0,0,16,0,0,13,i,13,i,2.0,46.5,32.625,5,461680.0,0.145,0.74,M,H,0.145,0.74,M,H,0.5395972090000001,-0.10444188999999998,H,L
28,Age_of_Empires_II_Main_Theme.mid,28,0,0,1,1,D,D,0,0,0,0,16,0,0,13,i,13,i,2.5,46.5,39.4375,6,461680.0,0.145,0.745,M,H,0.145,0.74,M,H,0.5179667715,-0.04617601499999996,H,L
29,Age_of_Empires_II_Main_Theme.mid,29,0,0,1,1,D,D,0,0,0,0,16,0,0,13,i,13,i,4.0,46.5,66.0,1,461680.0,0.145,0.745,M,H,0.145,0.745,M,H,0.4238870839999999,-0.23135963999999998,H,L
-30,Age_of_Empires_II_Main_Theme.mid,30,1,1,1,1,C,C,0,0,0,0,0,0,0,0,no_chord,13,i,0.0,0.0,0.0,0,461680.0,0.145,0.745,M,H,0.145,0.745,M,H,,,,
30,Age_of_Empires_Title_Theme.mid,0,0,1,1,1,B,D,0,0,0,0,0,0,0,0,no_chord,0,no_chord,0.5,44.0,26.25,7,505292.6875,-0.028000000000000004,0.445,L,H,-0.028000000000000004,0.445,L,H,0.2481988361187499,0.21046444631249994,M,H
31,Age_of_Empires_Title_Theme.mid,1,0,0,0,1,D,D,1,7,1,0,0,0,0,13,i,0,no_chord,2.375,45.68421052631579,66.1875,6,501223.75,-0.057999999999999996,0.46249999999999997,L,H,-0.028000000000000004,0.445,L,H,0.2522306092960525,0.1457202912500002,M,M
32,Age_of_Empires_Title_Theme.mid,2,0,0,0,1,D,D,1,7,1,0,0,0,0,13,i,13,i,2.375,45.68421052631579,66.1875,6,500003.0,-0.039999999999999994,0.49,L,H,-0.057999999999999996,0.46249999999999997,L,H,0.2526806998210525,0.14703015600000013,M,M
33,Age_of_Empires_Title_Theme.mid,3,0,0,0,1,D,D,1,7,1,0,0,0,0,13,i,13,i,2.375,45.68421052631579,66.1875,6,500003.0,-0.017999999999999995,0.455,L,H,-0.039999999999999994,0.49,L,H,0.2526806998210525,0.14703015600000013,M,M
34,Age_of_Empires_Title_Theme.mid,4,0,0,0,1,D,D,1,7,1,0,0,0,0,13,i,13,i,2.375,45.68421052631579,66.1875,6,505292.6875,-0.009999999999999998,0.45,L,H,-0.017999999999999995,0.455,L,H,0.2507303920398025,0.14135432131250014,M,M
35,Age_of_Empires_Title_Theme.mid,5,0,0,0,1,G,D,0,5,0,0,2,1,3,18,iv,13,i,2.3125,49.51351351351351,65.875,6,501223.75,-0.015999999999999997,0.45,L,H,-0.009999999999999998,0.45,L,H,0.32364788107770265,0.09044854125000024,H,M
36,Age_of_Empires_Title_Theme.mid,6,0,0,0,1,G,D,0,5,0,0,9,0,2,18,iv,18,iv,2.4375,50.82051282051282,68.125,7,500003.0,-0.084,0.43,L,H,-0.015999999999999997,0.45,L,H,0.41505131377179477,0.03729265599999998,H,L
37,Age_of_Empires_Title_Theme.mid,7,0,0,1,1,D,D,9,7,0,0,0,0,0,13,i,18,iv,3.6875,50.67796610169491,66.1875,10,500003.0,-0.126,0.4325,L,H,-0.084,0.43,L,H,0.43762421275593216,0.17879453099999998,H,M
38,Age_of_Empires_Title_Theme.mid,8,0,0,0,1,D,D,1,7,1,0,0,0,0,13,i,13,i,2.5625,47.390243902439025,70.0,7,505292.6875,-0.142,0.4325,L,H,-0.126,0.4325,L,H,0.24302248855777434,0.18939782131250005,M,M
39,Age_of_Empires_Title_Theme.mid,9,0,0,0,1,G,D,0,6,0,0,2,1,2,18,iv,13,i,3.3125,54.490566037735846,65.875,6,501223.75,-0.258,0.4325,L,H,-0.142,0.4325,L,H,0.3050353670542451,0.10264654125000017,M,M
40,Age_of_Empires_Title_Theme.mid,10,0,0,0,1,G,D,0,5,0,0,9,0,2,18,iv,18,iv,3.5,56.17857142857142,68.125,7,500003.0,-0.238,0.45000000000000007,L,H,-0.258,0.4325,L,H,0.4041356260428571,0.04298553100000002,H,M
41,Age_of_Empires_Title_Theme.mid,11,0,0,1,1,D,D,0,7,0,0,9,0,0,13,i,18,iv,3.3125,57.9622641509434,64.8125,6,500003.0,0.016000000000000004,0.475,M,H,-0.238,0.45000000000000007,L,H,0.4214482111169811,0.022181031000000018,H,L
42,Age_of_Empires_Title_Theme.mid,12,0,0,1,1,D,D,4,7,0,0,5,0,0,13,i,13,i,4.3125,53.10144927536233,64.375,6,500003.0,-0.098,0.48,L,H,0.016000000000000004,0.475,M,H,0.41204840658115965,0.031157406000000054,H,L
43,Age_of_Empires_Title_Theme.mid,13,0,1,1,1,B,D,0,0,0,0,0,0,0,0,no_chord,13,i,0.5,52.0,21.6875,4,500003.0,-0.076,0.49,L,H,-0.098,0.48,L,H,0.26429083140000004,0.07919290599999995,M,M
-44,Age_of_Empires_Title_Theme.mid,14,1,1,1,1,C,C,0,0,0,0,0,0,0,0,no_chord,0,vii7,0.0,0.0,0.0,0,500003.0,-0.076,0.49,L,H,-0.076,0.49,L,H,,,,
44,Aion_Tower_of_Eternity_DeathWaltz.mid,0,0,0,1,0,F#,B,6,0,0,0,4,6,0,69,#V7,0,no_chord,2.5,89.125,85.1875,6,625000.0,-0.315,-0.3433333333333333,L,L,-0.315,-0.3433333333333333,L,L,0.17124881250000007,-0.08191987499999975,M,L
45,Aion_Tower_of_Eternity_DeathWaltz.mid,1,0,0,1,0,F#,B,7,0,1,0,8,0,0,56,Vsus4,69,#V7,2.4375,86.51282051282051,87.5,6,625000.0,-0.315,-0.3433333333333333,L,L,-0.315,-0.3433333333333333,L,L,0.16307287179487173,-0.09535187499999986,M,L
46,Aion_Tower_of_Eternity_DeathWaltz.mid,2,0,0,1,0,B,B,12,0,0,0,4,0,0,13,i,56,Vsus4,2.9375,84.08510638297872,84.625,3,625000.0,-0.315,-0.3433333333333333,L,L,-0.315,-0.3433333333333333,L,L,0.17571966755319163,-0.23761312499999987,M,L
47,Aion_Tower_of_Eternity_DeathWaltz.mid,3,0,0,1,0,B,B,5,0,0,2,3,6,0,69,#V7,13,i,3.625,89.56896551724137,91.0,6,625000.0,-0.315,-0.3433333333333333,L,L,-0.315,-0.3433333333333333,L,L,0.09797068965517247,-0.041188249999999926,L,L
48,Aion_Tower_of_Eternity_DeathWaltz.mid,4,0,0,1,0,F#,B,7,0,2,0,7,0,0,56,Vsus4,69,#V7,3.5625,87.42105263157895,85.0625,6,625000.0,-0.315,-0.3433333333333333,L,L,-0.315,-0.3433333333333333,L,L,0.1430281546052632,-0.08593174999999997,M,L
49,Aion_Tower_of_Eternity_DeathWaltz.mid,5,0,0,1,0,B,B,7,0,0,0,9,0,0,56,Vsus4,56,Vsus4,3.3125,84.75471698113208,87.5625,2,625000.0,-0.315,-0.34,L,L,-0.315,-0.3433333333333333,L,L,0.14714771816037736,-0.28717224999999985,M,L
50,Aion_Tower_of_Eternity_DeathWaltz.mid,6,0,0,0,0,B,B,4,0,0,0,0,12,0,69,#V7,56,Vsus4,2.75,87.68181818181819,86.0,8,625000.0,-0.43999999999999995,-0.34,L,L,-0.315,-0.34,L,L,0.13399099999999992,0.00946950000000002,M,L
51,Aion_Tower_of_Eternity_DeathWaltz.mid,7,0,0,0,0,B,B,5,0,0,1,10,0,0,56,Vsus4,69,#V7,2.75,84.84090909090908,83.0,8,625000.0,-0.44499999999999995,-0.35000000000000003,L,L,-0.43999999999999995,-0.34,L,L,0.1296117499999998,-0.035645499999999886,M,L
52,Aion_Tower_of_Eternity_DeathWaltz.mid,8,0,0,0,0,B,B,1,0,0,0,2,13,0,61,I7,56,Vsus4,3.3125,84.39622641509435,84.875,8,625000.0,-0.44499999999999995,-0.3466666666666667,L,L,-0.44499999999999995,-0.35000000000000003,L,L,0.11384295047169812,0.011460625000000002,L,L
53,Aion_Tower_of_Eternity_DeathWaltz.mid,9,0,0,1,0,B,B,3,0,0,0,1,12,0,69,#V7,61,I7,3.875,88.51612903225805,87.5625,8,625000.0,-0.44499999999999995,-0.3266666666666667,L,L,-0.44499999999999995,-0.3466666666666667,L,L,0.1332316512096774,0.029941625000000083,M,L
54,Aion_Tower_of_Eternity_DeathWaltz.mid,10,0,0,0,0,B,B,6,0,0,0,10,0,0,56,Vsus4,69,#V7,3.875,86.16129032258064,82.4375,8,625000.0,-0.44499999999999995,-0.3266666666666667,L,L,-0.44499999999999995,-0.3266666666666667,L,L,0.1367355745967741,-0.042013124999999985,M,L
55,Aion_Tower_of_Eternity_DeathWaltz.mid,11,0,0,1,0,B,B,7,0,0,0,9,0,0,56,Vsus4,56,Vsus4,3.375,81.99999999999999,74.9375,3,625000.0,-0.44499999999999995,-0.3266666666666667,L,L,-0.44499999999999995,-0.3266666666666667,L,L,0.17326368749999993,-0.25901212499999987,M,L
56,Aion_Tower_of_Eternity_DeathWaltz.mid,12,0,0,0,0,B,B,2,8,0,0,0,6,0,13,i,56,Vsus4,3.5,71.14285714285715,87.6875,8,625000.0,-0.45999999999999996,-0.33,L,L,-0.44499999999999995,-0.3266666666666667,L,L,0.0675287232142856,0.05359712500000002,L,M
57,Aion_Tower_of_Eternity_DeathWaltz.mid,13,0,0,1,0,D,B,7,0,0,0,0,0,9,78,iv7,13,i,3.4375,68.85454545454546,84.9375,8,625000.0,-0.405,-0.3333333333333333,L,L,-0.45999999999999996,-0.33,L,L,0.18497728749999987,-0.013602249999999927,M,L
58,Aion_Tower_of_Eternity_DeathWaltz.mid,14,0,0,0,0,B,B,1,0,0,0,5,8,2,49,Isus4,78,iv7,3.5,69.69642857142857,85.375,8,625000.0,-0.365,-0.24666666666666667,L,L,-0.405,-0.3333333333333333,L,L,0.10499839285714274,-0.005955749999999926,L,L
59,Aion_Tower_of_Eternity_DeathWaltz.mid,15,0,0,0,0,B,B,2,8,0,0,0,6,0,13,i,49,Isus4,3.5,71.14285714285715,85.0625,8,625000.0,-0.81,-0.24666666666666667,L,L,-0.365,-0.24666666666666667,L,L,0.07345859821428558,0.04866737500000007,L,M
60,Aion_Tower_of_Eternity_DeathWaltz.mid,16,0,0,1,0,G,B,7,0,0,0,0,0,9,78,iv7,13,i,3.375,68.9074074074074,84.0,9,625000.0,-0.825,-0.24666666666666667,L,L,-0.81,-0.24666666666666667,L,L,0.1900974814814813,0.018353249999999988,M,L
61,Aion_Tower_of_Eternity_DeathWaltz.mid,17,0,0,0,0,B,B,0,0,6,3,6,0,0,49,Isus4,78,iv7,2.625,66.28571428571428,80.625,6,625000.0,-0.865,-0.24666666666666667,L,L,-0.825,-0.24666666666666667,L,L,-0.012518803571428594,-0.03176149999999989,L,L
62,Aion_Tower_of_Eternity_DeathWaltz.mid,18,0,0,0,0,E,B,3,7,0,0,0,0,6,78,iv7,49,Isus4,3.875,63.38709677419355,82.3125,9,625000.0,-0.7949999999999999,-0.25,L,L,-0.865,-0.24666666666666667,L,L,0.10492069153225791,0.05416312499999998,L,M
63,Aion_Tower_of_Eternity_DeathWaltz.mid,19,0,0,0,0,B,B,0,1,0,1,1,9,4,68,V7,78,iv7,3.9375,62.58730158730159,80.25,6,625000.0,-0.7949999999999999,-0.24333333333333332,L,L,-0.7949999999999999,-0.25,L,L,0.0792639246031745,-0.0633713749999999,L,L
64,Aion_Tower_of_Eternity_DeathWaltz.mid,20,0,0,0,0,F#,B,0,4,0,0,11,0,1,56,Vsus4,68,V7,4.625,66.21621621621622,84.375,9,625000.0,-0.845,-0.25999999999999995,L,L,-0.7949999999999999,-0.24333333333333332,L,L,0.07049361824324318,0.027244999999999964,L,L
65,Aion_Tower_of_Eternity_DeathWaltz.mid,21,0,0,0,0,E,B,3,7,0,0,0,0,6,78,iv7,56,Vsus4,3.875,63.38709677419355,81.0,9,625000.0,-0.845,-0.25999999999999995,L,L,-0.845,-0.25999999999999995,L,L,0.10788562903225796,0.05169825000000006,L,M
66,Aion_Tower_of_Eternity_DeathWaltz.mid,22,0,0,0,0,B,B,0,0,0,0,1,10,5,68,V7,78,iv7,3.625,62.36206896551724,81.25,6,625000.0,-0.845,-0.25999999999999995,L,L,-0.845,-0.25999999999999995,L,L,0.10903487068965517,-0.07803674999999999,L,L
67,Aion_Tower_of_Eternity_DeathWaltz.mid,23,0,0,0,0,B,B,1,2,0,3,5,5,0,69,#V7,68,V7,1.6875,68.62962962962963,85.75,12,662936.0625,-0.845,-0.25999999999999995,L,L,-0.845,-0.25999999999999995,L,L,0.05280114968217592,0.10081872993750018,L,M
68,Aion_Tower_of_Eternity_DeathWaltz.mid,24,0,0,0,0,B,B,0,4,0,0,0,6,6,13,i,69,#V7,3.25,71.8076923076923,82.5,8,651041.625,-0.845,-0.26,L,L,-0.845,-0.25999999999999995,L,L,0.11090287593942288,-0.012267163625000022,L,L
69,Aion_Tower_of_Eternity_DeathWaltz.mid,25,0,0,1,0,D,B,8,0,0,0,3,0,5,78,iv7,13,i,3.5,69.53571428571428,84.5625,8,625000.0,-0.845,-0.26,L,L,-0.845,-0.26,L,L,0.17012113392857137,-0.018341624999999917,M,L
70,Aion_Tower_of_Eternity_DeathWaltz.mid,26,0,0,0,0,B,B,1,0,0,0,9,6,0,49,Isus4,78,iv7,3.5,69.08928571428571,84.5625,8,625000.0,-0.845,-0.26,L,L,-0.845,-0.26,L,L,0.09838586607142846,-0.01906162499999986,L,L
71,Aion_Tower_of_Eternity_DeathWaltz.mid,27,0,0,0,0,B,B,0,10,0,0,0,6,0,13,i,49,Isus4,3.625,71.25862068965517,83.9375,8,625000.0,-0.845,-0.26,L,L,-0.845,-0.26,L,L,0.06091877370689647,0.061424374999999976,L,M
72,Aion_Tower_of_Eternity_DeathWaltz.mid,28,0,0,1,0,D,B,8,0,0,0,1,0,7,78,iv7,13,i,3.5,69.66071428571428,84.6875,9,625000.0,-0.845,-0.25666666666666665,L,L,-0.845,-0.26,L,L,0.18112763392857145,0.01868412500000005,M,L
73,Aion_Tower_of_Eternity_DeathWaltz.mid,29,0,0,0,0,B,B,0,0,5,0,11,0,0,49,Isus4,78,iv7,2.8125,66.4,82.375,7,625000.0,-0.845,-0.25333333333333335,L,L,-0.845,-0.25666666666666665,L,L,0.06956397499999994,-0.051598374999999974,L,L
74,Aion_Tower_of_Eternity_DeathWaltz.mid,30,0,0,1,0,B,B,3,0,0,8,3,0,0,1,I,49,Isus4,1.5625,71.67999999999999,83.125,7,625000.0,-0.845,-0.25666666666666665,L,L,-0.845,-0.25333333333333335,L,L,-0.029009555000000048,0.05618462499999999,L,M
75,Aion_Tower_of_Eternity_DeathWaltz.mid,31,0,0,1,0,B,B,4,0,0,7,1,4,0,61,I7,1,I,1.75,77.89285714285714,81.375,9,625000.0,-0.845,-0.26,L,L,-0.845,-0.25666666666666665,L,L,0.04218091071428565,0.09387975000000004,L,M
76,Aion_Tower_of_Eternity_DeathWaltz.mid,32,0,0,0,0,F#,B,0,0,0,2,6,4,4,56,Vsus4,61,I7,3.0,80.68750000000001,81.875,10,625000.0,-0.845,-0.27,L,L,-0.845,-0.26,L,L,0.10798118750000002,0.058828250000000026,L,M
77,Aion_Tower_of_Eternity_DeathWaltz.mid,33,0,0,1,0,B,B,1,6,0,2,7,0,0,13,i,56,Vsus4,2.75,78.31818181818181,81.0,9,625000.0,-0.845,-0.27,L,L,-0.845,-0.27,L,L,0.09794799999999998,0.06453850000000005,L,M
78,Aion_Tower_of_Eternity_DeathWaltz.mid,34,0,0,1,0,F#,B,2,4,0,2,8,0,0,13,i,13,i,2.375,76.57894736842104,82.625,10,625000.0,-0.845,-0.27,L,L,-0.845,-0.27,L,L,0.11047078289473672,0.08140800000000004,L,M
79,Aion_Tower_of_Eternity_DeathWaltz.mid,35,0,0,0,0,B,B,0,1,0,3,6,6,0,69,#V7,13,i,2.9375,80.31914893617022,85.6875,11,625000.0,-0.845,-0.27,L,L,-0.845,-0.27,L,L,0.05858609707446799,0.11789525000000001,L,M
80,Aion_Tower_of_Eternity_DeathWaltz.mid,36,0,0,1,0,B,B,0,0,0,0,3,12,1,73,i7,69,#V7,2.9375,83.06382978723404,82.125,10,625000.0,-0.845,-0.27,L,L,-0.845,-0.27,L,L,0.1539056569148936,0.07793487500000007,M,M
81,Aion_Tower_of_Eternity_DeathWaltz.mid,37,0,0,0,0,B,B,8,0,0,2,6,0,0,56,Vsus4,73,i7,2.0,76.375,80.6875,6,625000.0,-0.845,-0.2833333333333334,L,L,-0.845,-0.27,L,L,0.12221706250000003,-0.10507187499999981,L,L
82,Aion_Tower_of_Eternity_DeathWaltz.mid,38,0,0,0,0,F#,B,7,2,0,0,7,0,0,56,Vsus4,56,Vsus4,2.1875,65.5142857142857,81.75,10,625000.0,-0.845,-0.27,L,L,-0.845,-0.2833333333333334,L,L,0.14055087857142856,0.030372125000000083,M,L
83,Aion_Tower_of_Eternity_DeathWaltz.mid,39,0,0,1,0,G,B,6,0,0,0,10,0,0,56,Vsus4,56,Vsus4,4.625,62.82432432432432,109.75,8,625000.0,-0.845,-0.26666666666666666,L,L,-0.845,-0.27,L,L,0.057885614864864876,0.025918250000000143,L,L
84,Aion_Tower_of_Eternity_DeathWaltz.mid,40,0,0,1,0,G,B,16,0,0,0,0,0,0,9,#V,56,Vsus4,2.5,62.25,87.5625,10,625000.0,-0.845,-0.26666666666666666,L,L,-0.845,-0.26666666666666666,L,L,0.17523656249999986,0.04915237500000014,M,M
85,Aion_Tower_of_Eternity_DeathWaltz.mid,41,0,0,1,0,F#,B,2,0,0,6,2,6,0,39,iio,9,#V,2.8125,49.86666666666666,93.0,12,634095.0625,-0.8500000000000001,-0.26666666666666666,L,L,-0.845,-0.26666666666666666,L,L,-0.020309716210416773,0.19048537293750012,L,M
86,Aion_Tower_of_Eternity_DeathWaltz.mid,42,0,0,1,0,F#,B,10,4,0,0,2,0,0,8,V,39,iio,3.5,60.53571428571429,95.625,7,779911.6875,-0.8500000000000001,-0.27,L,L,-0.8500000000000001,-0.26666666666666666,L,L,0.04353500724732129,-0.17254149068750002,L,L
87,Aion_Tower_of_Eternity_DeathWaltz.mid,43,0,0,0,0,B,B,8,4,0,0,0,0,4,13,i,8,V,3.0625,71.87755102040816,92.1875,5,898437.5,-0.8500000000000001,-0.2866666666666667,L,L,-0.8500000000000001,-0.27,L,L,0.013990714923469316,-0.4005514375000001,L,L
88,Aion_Tower_of_Eternity_DeathWaltz.mid,44,0,0,0,0,E,B,2,0,0,0,0,5,9,78,iv7,13,i,3.75,63.71666666666667,79.5625,8,625000.0,-0.8500000000000001,-0.2866666666666667,L,L,-0.8500000000000001,-0.2866666666666667,L,L,0.14433909583333326,-0.018092125000000014,M,L
89,Aion_Tower_of_Eternity_DeathWaltz.mid,45,0,0,0,0,B,B,0,5,0,3,0,3,5,78,iv7,78,iv7,4.0625,63.96923076923076,79.5,8,625000.0,-0.8500000000000001,-0.29,L,L,-0.8500000000000001,-0.2866666666666667,L,L,0.03954310769230762,0.04532187500000007,L,M
90,Aion_Tower_of_Eternity_DeathWaltz.mid,46,0,0,1,0,F#,B,0,3,0,0,13,0,0,56,Vsus4,78,iv7,4.875,65.41025641025641,85.4375,8,625000.0,-0.8500000000000001,-0.2966666666666667,L,L,-0.8500000000000001,-0.29,L,L,0.08323808493589735,-0.00043112499999986564,L,L
91,Aion_Tower_of_Eternity_DeathWaltz.mid,47,0,0,0,0,E,B,2,0,0,0,0,5,9,78,iv7,56,Vsus4,3.75,63.71666666666667,80.0,8,625000.0,-0.8500000000000001,-0.2966666666666667,L,L,-0.8500000000000001,-0.2966666666666667,L,L,0.1433507833333333,-0.017270499999999966,M,L
